,catg,date,goodNum,loc,price,site,text,title,view
0,디지털/가전,2020-04-12,3,강서구 마곡동,220000,당근마켓,"안녕하세요~!
아이패드 에어2 wifi 64GB 골드 제품 팝니다.
구매는 2015년에 미국에서 구매했습니다.
사용은 미국에 6개월 정도 있으면서 영상통화 한거 외에 거의 사용을 안해서 굉장히 깨끗합니다^^ㅎㅎ
하지만... 박스와 어댑터가 없습니다.🤦‍♂️
오로지 아이패드와 케이스뿐...ㅎㅎ
(그래서 23만원에 팔고싶었는데 1만원 내렸어요^^*)
충천하는 부분에 아주 미세한 긁힘이 있으나 티 거의 안나구 혹시나해서 말씀드립니다!
(당연히 기능상 문제나 빛샘현상같은건 네버 없지유^^)
정말 깨끗하게 사용했어요. 마치 새제품마냥
양천향교역이나 발산역쪽에서 직거래 가능합니다!
문의사항 환영입니다. 구매 고고~!🏄‍♂️🏄‍♂️",아이패드 에어2 wifi 64GB 골드 (ipad air2) 팝니다!,46
1,디지털/가전,2020-04-12,7,용인시 기흥구 구갈동,50000,당근마켓,"화면만 깨져잇도 그 외에 이상이 하나도 없읍니다
그외애 상태는 좋아요!
열락 부탁 드립니다~!",아이패드 미니 Ipad Mini,2153
2,디지털/가전,2020-04-12,1,시흥시 정왕4동,235000,당근마켓,"다른 중고장터나 어플 봐도
제가 확실히 싸게 올린 것 같은데 왜이리
안팔리는지 모르겠네요..
문의들 많이 주시는데 액정 깨진거 아닙니다
위에 씌워놓은 강화필름이 깨진거구요
배껴내고 새걸로 붙이고 판매할까도 고민중이에요
잔기스 몇개 있고 사용하는데 아무지장 없어요
아이패드 에어3 구매로 방출하는겁니다
주로 동영상 보고 메모장 용도로만 사용했어요
235,000원으로 가격낮춰 다시올려봅니다
리셋도 시켜놨어요 얼른 가져가세요~
직거래 : 시흥 배곧신도시",아이패드 미니4 128g 골드 (IPad Mini4 Gold) Wifi전용,59
3,디지털/가전,2020-04-12,121,노원구 상계8동,330000,당근마켓,"⭐️ 찔러보기, 물어보시고 읽씹 등 비매너 대화
정중하게 사양합니다. 그러실 분들은 그냥 이 게시물 지나쳐주세요.

아이패드 사자마자 서피스프로 풀셋을 사게 되어
아이패드 배송 받자마자 올립니다
구입일 2020.2.26.
배송완료일 2020.3.2.
리퍼비시 제품이고 외관 상태 매우 양호합니다(S급)
작동도 기능적인 부분 확인하느라 켜보았는데
이상 있는 부분 한 군데도 없이 정상 작동됩니다
직거래 연금매장(상록스토어) 혹은 15단지 근처에서 해요~",아이패드 5세대(뉴아이패드) 9.7형 128GB (WIFI),5122
4,디지털/가전,2020-04-12,5,동작구 사당동,100000,당근마켓,"상태 매우 좋은 아이패드 미니(16GB) 1세대
+ 로지텍키보드
+ 정품커버
+ 충전기 세트로 판매합니다
블루투스 키보드 있는 세트라서 간단한 작업용, 온라인 개강용, 유투브 영상용으로도 좋아요 :)
이수역/사당역 직거래 가능합니다~
택배 필요하시면 착불로 보내드립니다.",아이패드 미니 ipad mini & 키보드 세트,222
5,디지털/가전,2020-04-12,0,유성구 궁동,9000,당근마켓,"완전 새제품이고 13000원에 샀는데 못써서 더 싸게 10000원에 팔아요. 뜯은 적도 없는 새겁니다!
2장 들어있네요. 무광후면 필름입니다.
실패하면 한번 더 찬스 있어서 좋아요
저가 상품이라 택배는 어려워요 ㅠ 소모품인만큼 교환 환불어렵구요",스코코 iPad 아이패드 에어 3 후면 필름 팝니다.,147
6,디지털/가전,2020-04-12,0,유성구 궁동,9000,당근마켓,"완전 새제품이고 13000원에 샀는데 못써서 더 싸게 10000원에 팔아요. 뜯은 적도 없는 새겁니다!
2장 들어있네요. 무광후면 필름입니다.
실패하면 한번 더 찬스 있어서 좋아요
저가 상품이라 택배는 어려워요 ㅠ 소모품인만큼 교환 환불어렵구요",스코코 iPad 아이패드 에어 3 후면 필름 팝니다.,147
7,디지털/가전,2020-04-12,0,관악구 은천동,50000,당근마켓,"택배올 때 박스 모서리가 나가있었지만 제품는 아무렇지 않고요
아이패드에 한번 달아보고 바로 떼어내서 보관하고 있었습니다.
봉천역에서 직거래만 합니다:)",아이패드&아이패드 에어 가죽 스마트 커버,61
8,디지털/가전,2020-04-11,5,용인시 수지구 상현동,10000,당근마켓,"새 제품이구요. 쿠션감 빵빵하고 튼튼한 느낌이예요.
11인치 아이패드나 노트북 용 슬리브 케이스입니다.
사진으로 보면 튼튼해서 딱딱해보이는데 실제로 그런 느낌은 전혀 아니예요.",(새상품) 랩씨 아이패드 11인치 슬리브 파우치 / 아이패드 케이스,104
9,디지털/가전,2020-04-11,3,화성시 동탄1동,450000,당근마켓,"에눌 없습니다. 애플케어플러스로 가입하셔야 리퍼 받고 중고처분해야 제 값 받고 판매가능합니다.
아이패드 7세대 스페이스그레이 애플케어플러스 89000원 가입된 아이패드 팝니다.
해외애플케어플러스 아시는 분만 구입하세요.
네고없음
애플케어플러스 as1년 연장 + 파손등 리퍼2회가능.
***-****-**** 까지 as 가능(해외애플케어플러스가입)
3월 17일 기준 애플케어플리스 약관이 변경되었다고 합니다.
17일 전에 해외애케플 가입자는 무료리퍼가 가능하고 이 후 해외애케플 가입자는 무료리퍼가 불가능하다고 합니다. ( 애플 정책이 추 후 변경될수 있음)
상태 좋고 풀박스 입니다.
32기가 와이파이입니다.
사용하시다가 다시 판매 하실 때 1년 뒤에 리퍼받으시고 판매하시면 더 잘 팔릴거예요",아이패드 7세대 스페이스그레이 애플케어플러스 89000원 가입된 아이패드 팝니다.,413
10,디지털/가전,2020-04-11,11,충주시 연수동,200000,당근마켓,"아이패드 에어 입니다.
사진처럼 상태는 최상입니다. 용량은 128기가입니다.
구입한지 2년정도 됬고 거의 들고 다니지 않고 책상에서 거치해놓고 가끔 사용했습니다.
득템하세여!!!!",아이패드 에어 (ipad air),409
11,디지털/가전,2020-04-11,3,고양시 일산서구 일산3동,435000,당근마켓,"아이패드 미니5 5세대 와이파이 64기가 스페이스그레이 미개봉
43.5에 판매합니다. 일산 직거래 우선
***-****-****",아이패드 미니5 ipad mini 5세대 64GB wifi 와이파이 미개봉 스페이스그레이,185
12,디지털/가전,2020-04-11,4,춘천시 후평3동,20000,당근마켓,"30핀 아이폰 아이패드에 꽃아서 지상파 dmb 보는 장치
테스트 완료했고 박스채 있습니다
설명서도 있습니다",아이패드로 DMB Tv 보세요~아이폰 아이패드 30핀 tivizen dmb 수신기,1347
13,디지털/가전,2020-04-11,13,성동구 옥수동,75000,당근마켓,"깨끗한 아이패드미니 1세대 판매합니다. (27gb)
테두리에 스크레치있지만
액정이나 뒷면은 깨끗합니다.
주로 유투브 시청으로 사용하다가
기종업그레이드로 판매합니다.",아이패드 미니 1세대 27G (ipad mini),530
14,디지털/가전,2020-04-11,20,강남구 청담동,140000,당근마켓,"아이랑 다닐때 쓰려고 샀는데 차량을 바꾸게되어 올립니다.
구성은 아이패드 3세대 64GB, 충전기, BMW 아이패드 차량 거치대입니다.
거치대는 사고 2번 패드끼고 사용했구요.
아이패드 상태 좋습니다.
두번째사진은 그냥 아이패드 사진, 세번째는 거치대에 끼운 모습이예요.
직거래 희망합니다.",아이패드 3 + BMW 아이패드 차량 거치대 (정품),830
15,디지털/가전,2020-04-11,14,청주시 서원구 사창동,90000,당근마켓,"아이패드2 팝니다.
액정 아주 깨끗하고 흠집도 없어요.
16기가에요.
인강용, 유튜브 시청용으로 좋습니다.
배터리 92%
싸이클 98회
초S급입니다.
누워서 보기에도 좋아요ㅎ
휴대하기도 편리하고 좋습니다.",ipad2 아이패드2 팝니다,1125
16,디지털/가전,2020-04-11,0,전주시 완산구 서신동,0,당근마켓,중고 사요!!,"아이패드 에어2이상, 프로2이상, 아이패드6세대 이상 +펜슬 (+키보드) 사요~~~",108
17,디지털/가전,2020-04-11,8,노원구 상계동,70000,당근마켓,"아이패드 2세대
ipad 2세대 A1396 16기가 wifi
+ 로지텍키보드
+ 파우치
아이패드 2세대 입니다~
16기가 와이파이 버전이고
간단한 문서작업, 영상시청, 음악감상
모두 문제 없습니다^^*~~~
수락산역 - 상봉역 사이 7호선 라인 직거래 가능합니다♥
감사합니다~~♥",아이패드 2세대 ipad 2세대 A1396 16기가 wifi + 로지텍키보드,338
